Date,Open,High,Low,Close,Adj Close,Volume
2021-08-06,750.000000,799.000000,738.000000,748.500000,735.946289,20222318
2021-08-09,751.700012,758.450012,713.549988,736.849976,724.491699,3967075
2021-08-10,740.000000,772.000000,740.000000,765.099976,752.267883,2882997
2021-08-11,774.400024,774.450012,735.000000,748.000000,735.454712,894950
2021-08-12,751.750000,767.099976,748.000000,751.950012,739.338440,502395
2021-08-13,758.299988,761.950012,742.250000,757.750000,745.041199,816238
2021-08-16,756.000000,756.000000,731.000000,733.849976,721.541992,592645
2021-08-17,738.849976,741.000000,720.000000,721.349976,709.251648,461158
2021-08-18,723.000000,731.000000,716.549988,720.150024,708.071838,298872
2021-08-20,720.000000,726.700012,706.349976,710.250000,698.337830,419924
2021-08-23,719.750000,719.750000,672.599976,676.400024,665.055603,455913
2021-08-24,675.500000,687.150024,665.150024,668.400024,657.189758,283832
2021-08-25,671.700012,688.000000,671.000000,675.500000,664.170654,221101
2021-08-26,679.900024,684.000000,668.000000,670.450012,659.205383,148919
2021-08-27,672.099976,675.900024,668.000000,670.549988,659.303650,116522
2021-08-30,674.700012,684.900024,673.000000,678.200012,666.825378,164890
2021-08-31,680.000000,698.799988,678.250000,691.049988,679.459839,228572
2021-09-01,696.700012,706.250000,691.500000,695.900024,684.228516,150209
2021-09-02,682.400024,689.549988,668.700012,670.799988,659.549500,575226
2021-09-03,672.000000,679.900024,672.000000,673.950012,662.646667,156097
2021-09-06,676.400024,679.349976,668.099976,669.750000,658.517090,157712
2021-09-07,675.000000,677.099976,667.000000,669.599976,658.369568,127727
2021-09-08,670.000000,674.900024,666.000000,668.849976,657.632141,120635
2021-09-09,670.000000,674.000000,659.000000,661.250000,650.159668,210408
2021-09-13,665.000000,670.849976,659.849976,664.400024,653.256836,251245
2021-09-14,670.200012,691.349976,667.099976,687.250000,675.723572,419073
2021-09-15,689.900024,724.250000,683.000000,712.250000,700.304260,792659
2021-09-16,721.000000,721.000000,697.200012,701.549988,689.783752,238899
2021-09-17,705.000000,709.000000,684.000000,690.250000,678.673279,155235
2021-09-20,688.700012,688.700012,671.549988,676.099976,664.760559,128362
