Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,102.000000,102.839996,101.019997,102.294998,85.390854,6300240
2010-01-05,106.970001,114.800003,102.680000,113.489998,94.735916,37729180
2010-01-06,114.029999,115.540001,111.620003,114.894997,95.908737,32266220
2010-01-07,114.800003,115.500000,111.745003,112.445000,93.863594,12190810
2010-01-08,111.599998,113.730003,110.510002,111.805000,93.329353,12242440
2010-01-11,113.000000,115.680000,112.300003,114.264999,95.382843,18166970
2010-01-12,113.500000,114.989998,112.099998,112.800003,94.159943,11942520
2010-01-13,105.385002,114.989998,105.385002,114.154999,95.291016,15321820
2010-01-14,115.199997,118.669998,113.879997,118.209999,98.675941,23405760
2010-01-15,118.349998,120.669998,117.110001,117.985001,98.488121,20303920
2010-01-18,117.000000,117.470001,115.500000,116.894997,97.578224,9536970
2010-01-19,117.000000,117.989998,114.809998,115.519997,96.430450,10100780
2010-01-20,115.300003,117.500000,114.500000,115.364998,96.301071,13833750
2010-01-21,115.300003,116.489998,112.000000,112.459999,93.876129,10070400
2010-01-22,109.900002,111.474998,106.125000,109.764999,91.626465,11203560
2010-01-25,110.900002,110.900002,104.800003,105.489998,88.057899,10876540
2010-01-27,103.000000,104.995003,94.824997,96.000000,80.136101,22521880
2010-01-28,97.500000,99.790001,96.790001,98.980003,82.623680,22879180
2010-01-29,98.000000,99.800003,93.000000,98.550003,82.264732,20036750
2010-02-01,96.550003,100.949997,96.010002,99.565002,83.112007,17841780
2010-02-02,100.699997,102.879997,96.809998,97.445000,81.342339,18067950
2010-02-03,98.949997,106.180000,98.500000,105.580002,88.133026,26435940
2010-02-04,104.800003,105.385002,101.764999,102.294998,85.390854,18955880
2010-02-05,97.110001,99.000000,93.864998,96.519997,80.570183,23101980
2010-02-06,null,null,null,null,null,null
2010-02-08,99.000000,101.790001,94.824997,98.330002,82.081085,35499970
2010-02-09,97.800003,99.660004,97.000000,98.669998,82.364899,20933380
2010-02-10,99.500000,101.000000,95.224998,96.050003,80.177864,20592740
2010-02-11,96.910004,99.394997,96.910004,98.669998,82.364899,13797740
2010-02-15,99.169998,101.500000,98.029999,101.139999,84.426720,16940830
2010-02-16,101.550003,102.570000,100.510002,102.260002,85.361664,13422690
2010-02-17,103.599998,107.500000,103.099998,106.279999,88.717361,17315430
2010-02-18,107.300003,107.300003,102.894997,106.080002,88.550423,16618460
2010-02-19,104.500000,105.000000,101.264999,102.190002,85.303223,16444470
2010-02-22,106.500000,113.599998,102.230003,102.915001,85.908424,12798310
2010-02-23,102.099998,105.900002,102.099998,105.364998,87.953560,19814540
2010-02-24,105.300003,108.199997,103.500000,107.785004,89.973656,21990350
2010-02-25,108.900002,109.010002,107.120003,108.535004,90.599716,18206010
2010-02-26,107.000000,110.900002,105.550003,107.035004,89.347603,16913510
2010-03-02,109.500000,111.790001,108.500000,111.275002,92.886940,15365490
2010-03-03,111.199997,115.239998,110.000000,114.675003,95.725090,17467930
2010-03-04,114.870003,116.980003,113.699997,115.970001,96.806107,16178760
2010-03-05,116.690002,120.400002,116.690002,119.610001,99.844574,21684150
2010-03-08,121.504997,123.139999,118.110001,120.264999,100.391350,16902940
2010-03-09,121.000000,121.000000,118.510002,119.339996,99.619179,11360700
2010-03-10,118.000000,119.699997,115.709999,117.059998,97.715965,20130390
2010-03-11,116.800003,117.625000,115.419998,116.639999,97.365387,13565540
2010-03-12,116.639999,118.980003,115.824997,117.879997,98.400467,24127970
2010-03-15,117.699997,118.870003,115.769997,117.974998,98.479767,14722130
2010-03-16,118.000000,120.239998,117.974998,119.900002,100.086662,19888080
